,year,country_name,country_code,value,data_source,yoy_growth,growth_category,cagr_3yr
69,2021,Algeria,DZA,66.2356,Original,9.20344119208487,Moderate Growth,10.539653553976525
70,2022,Algeria,DZA,71.2432,Original,7.560284801526662,Moderate Growth,6.500613005620837
71,2023,Algeria,DZA,65.34096992885407,Imputed,-8.284622351531002,Moderate Decline,2.5124961762412523
72,2000,American Samoa,ASM,38.22598811736259,Imputed,,,
73,2001,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,
74,2002,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,
75,2003,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
76,2004,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
77,2005,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
78,2006,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
79,2007,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
80,2008,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
81,2009,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
82,2010,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
83,2011,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
84,2012,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
85,2013,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
86,2014,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
87,2015,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
88,2016,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
89,2017,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
90,2018,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
91,2019,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
92,2020,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
93,2021,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
94,2022,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
95,2023,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0
96,2000,Andorra,AND,10.5388,Original,,,
97,2001,Andorra,AND,26.8912957215407,Imputed,100.0,High Growth,
98,2002,Andorra,AND,11.2605,Original,-58.12585560546264,Significant Decline,
99,2003,Andorra,AND,13.5464,Original,20.300164291106082,High Growth,8.728712197369193
100,2004,Andorra,AND,26.838,Original,98.11905746176106,High Growth,-0.06610685448852349
101,2005,Andorra,AND,37.6058,Original,40.12146955808929,High Growth,49.4740214792263
102,2006,Andorra,AND,48.9368,Original,30.13099043232692,High Growth,53.43951742579485
103,2007,Andorra,AND,70.87,Original,44.81944058459075,High Growth,38.21995950697925
104,2008,Andorra,AND,70.04,Original,-1.1711584591505564,Stable,23.035499044984363
105,2009,Andorra,AND,78.53,Original,12.12164477441462,Moderate Growth,17.075676713120558
106,2010,Andorra,AND,81.0,Original,3.1452947917993024,Stable,4.5540504218007705
107,2011,Andorra,AND,81.0,Original,0.0,Stable,4.965431107892204
108,2012,Andorra,AND,82.7,Original,2.0987654320987703,Stable,1.7395870864460594
109,2013,Andorra,AND,84.4,Original,2.055622732769047,Stable,1.380044126030966
110,2014,Andorra,AND,86.1,Original,2.014218009478652,Stable,2.05619622045512
111,2015,Andorra,AND,87.9,Original,2.0905923344947785,Stable,2.053472917819388
112,2016,Andorra,AND,89.7,Original,2.0477815699658564,Stable,2.050859185002585
113,2017,Andorra,AND,91.5675,Original,2.0819397993310895,Stable,2.0734362278322926
114,2018,Andorra,AND,95.53968129623445,Imputed,4.337981594162188,Stable,2.8170102274795994
115,2019,Andorra,AND,90.7187,Original,-5.046051264590579,Moderate Decline,0.3771340677743318
116,2020,Andorra,AND,93.2056,Original,2.7413311698690546,Stable,0.5927968103786707
117,2021,Andorra,AND,93.8975,Original,0.7423373702867497,Stable,-0.5762635401051042
118,2022,Andorra,AND,94.4855,Original,0.6262147554514375,Stable,1.3653324678214895
119,2023,Andorra,AND,100.0,Imputed,5.836345259325504,Moderate Growth,2.3731337790896756
120,2000,Angola,AGO,0.105046,Original,,,
121,2001,Angola,AGO,0.136014,Original,29.480418102545556,High Growth,
122,2002,Angola,AGO,0.270377,Original,98.78615436646227,High Growth,
123,2003,Angola,AGO,0.370682,Original,37.09819992085126,High Growth,52.24416593885828
124,2004,Angola,AGO,0.464815,Original,25.39454303149329,High Growth,50.62561759273474
125,2005,Angola,AGO,1.14337,Original,145.9838860621968,High Growth,61.71079641097552
126,2006,Angola,AGO,1.5,Original,31.191127981318377,High Growth,59.35410439209803
127,2007,Angola,AGO,1.7,Original,13.33333333333333,Moderate Growth,54.07171929036494
128,2008,Angola,AGO,1.9,Original,11.764705882352944,Moderate Growth,18.446510133631634
129,2009,Angola,AGO,2.3,Original,21.052631578947366,High Growth,15.313156133323268
130,2010,Angola,AGO,2.8,Original,21.739130434782616,High Growth,18.096321418390836
131,2011,Angola,AGO,4.7,Original,67.85714285714289,High Growth,35.24298644723049
132,2012,Angola,AGO,7.7,Original,63.829787234042556,High Growth,49.59633819923104
133,2013,Angola,AGO,13.0,Original,68.83116883116882,High Growth,66.82524589331587
134,2014,Angola,AGO,21.3623,Original,64.32538461538462,High Growth,65.64692717728661
135,2015,Angola,AGO,22.0,Original,2.9851654550305806,Stable,41.89834119703837
136,2016,Angola,AGO,23.2,Original,5.454545454545445,Moderate Growth,21.296483617543128
137,2017,Angola,AGO,26.0,Original,12.068965517241391,Moderate Growth,6.7681651810513666
138,2018,Angola,AGO,29.0,Original,11.538461538461542,Moderate Growth,9.645742373189425
139,2019,Angola,AGO,32.1294,Original,10.791034482758599,Moderate Growth,11.464920387135491
140,2020,Angola,AGO,36.6347,Original,14.022359583434497,Moderate Growth,12.108815457015897
141,2021,Angola,AGO,37.8067,Original,3.1991527158677258,Stable,9.242154735002895
142,2022,Angola,AGO,39.2935,Original,3.9326362787548197,Stable,6.939799715093797
143,2023,Angola,AGO,37.145811794466226,Imputed,-5.465759490841426,Moderate Decline,0.46290639737762707
144,2000,Antigua and Barbuda,ATG,6.48223,Original,,,
145,2001,Antigua and Barbuda,ATG,8.89929,Original,37.287476686263844,High Growth,
146,2002,Antigua and Barbuda,ATG,12.5,Original,40.46064348953679,High Growth,
147,2003,Antigua and Barbuda,ATG,17.2286,Original,37.828799999999994,High Growth,38.51873513381827
148,2004,Antigua and Barbuda,ATG,24.2665,Original,40.85009809270632,High Growth,39.70670852152401
149,2005,Antigua and Barbuda,ATG,27.0,Original,11.264500442997537,Moderate Growth,29.266081401913024
150,2006,Antigua and Barbuda,ATG,30.0,Original,11.111111111111116,Moderate Growth,20.30686840670586
151,2007,Antigua and Barbuda,ATG,34.0,Original,13.33333333333333,Moderate Growth,11.898412457901419
152,2008,Antigua and Barbuda,ATG,38.0,Original,11.764705882352944,Moderate Growth,12.06584689329877
153,2009,Antigua and Barbuda,ATG,42.0,Original,10.526315789473696,Moderate Growth,11.868894208139679
154,2010,Antigua and Barbuda,ATG,47.0,Original,11.904761904761907,Moderate Growth,11.396867943116451
155,2011,Antigua and Barbuda,ATG,52.0,Original,10.63829787234043,Moderate Growth,11.021370033491195
156,2012,Antigua and Barbuda,ATG,58.0,Original,11.538461538461542,Moderate Growth,11.3592338632446
157,2013,Antigua and Barbuda,ATG,63.4,Original,9.310344827586214,Moderate Growth,10.491906349110081
158,2014,Antigua and Barbuda,ATG,67.78,Original,6.908517350157739,Moderate Growth,9.236071645305
159,2015,Antigua and Barbuda,ATG,70.0,Original,3.275302449100037,Stable,6.469042607881903
160,2016,Antigua and Barbuda,ATG,73.0,Original,4.285714285714293,Stable,4.8120464744708435
161,2017,Antigua and Barbuda,ATG,76.2,Original,4.383561643835621,Stable,3.980316640768411
162,2018,Antigua and Barbuda,ATG,79.6,Original,4.461942257217832,Stable,4.377047831571468
163,2019,Antigua and Barbuda,ATG,83.2,Original,4.522613065326642,Stable,4.4560234791290565
164,2020,Antigua and Barbuda,ATG,86.8837,Original,4.427524038461539,Stable,4.4706857251947785
165,2021,Antigua and Barbuda,ATG,87.074,Original,0.21902842535481692,Stable,3.0366687665060343
166,2022,Antigua and Barbuda,ATG,91.4123,Original,4.982313893929313,Stable,3.187503020166016
167,2023,Antigua and Barbuda,ATG,99.71866968379527,Imputed,9.086708991891967,Moderate Growth,4.699849219191998
168,2000,Argentina,ARG,7.03868,Original,,,
169,2001,Argentina,ARG,9.78081,Original,38.95801485505805,High Growth,
170,2002,Argentina,ARG,10.8821,Original,11.259701394874245,Moderate Growth,
171,2003,Argentina,ARG,11.9137,Original,9.479787908583837,Moderate Growth,19.17499604861299
172,2004,Argentina,ARG,16.0367,Original,34.60721690155031,High Growth,17.917988127015725
173,2005,Argentina,ARG,17.7206,Original,10.500289959904485,Moderate Growth,17.649089376220473
174,2006,Argentina,ARG,20.9272,Original,18.095324086091892,Moderate Growth,20.65763865628454
175,2007,Argentina,ARG,25.9466,Original,23.98505294544899,High Growth,17.39650035833913
176,2008,Argentina,ARG,28.1126,Original,8.347914562987068,Moderate Growth,16.629262730534798
177,2009,Argentina,ARG,34.0,Original,20.94221096590141,High Growth,17.559012879621537
178,2010,Argentina,ARG,45.0,Original,32.35294117647059,High Growth,20.14637878779457
179,2011,Argentina,ARG,51.0,Original,13.33333333333333,Moderate Growth,21.961583454068602
180,2012,Argentina,ARG,55.8,Original,9.41176470588234,Moderate Growth,17.95556285661317
181,2013,Argentina,ARG,59.9,Original,7.347670250896066,Moderate Growth,10.003060826981368
182,2014,Argentina,ARG,64.7,Original,8.013355592654436,Moderate Growth,8.254186689366128
183,2015,Argentina,ARG,68.0431,Original,5.167078825347748,Moderate Growth,6.835756818842609
184,2016,Argentina,ARG,70.969,Original,4.300068632969389,Stable,5.815012552568999
185,2017,Argentina,ARG,74.2949,Original,4.686412377235127,Stable,4.717252894431501
186,2018,Argentina,ARG,77.7,Original,4.583221728543951,Stable,4.523106570667923
187,2019,Argentina,ARG,79.947,Original,2.8918918918918957,Stable,4.050577569011393
188,2020,Argentina,ARG,85.5144,Original,6.96386355960823,Moderate Growth,4.799710626491205
189,2021,Argentina,ARG,87.1507,Original,1.913478899460208,Stable,3.900256645002731
190,2022,Argentina,ARG,88.3754,Original,1.4052669685957753,Stable,3.397429059582202
191,2023,Argentina,ARG,89.229,Original,0.9658796452406415,Stable,1.427469618219801
192,2000,Armenia,ARM,1.30047,Original,,,
193,2001,Armenia,ARM,1.63109,Original,25.42311625796827,High Growth,
194,2002,Armenia,ARM,1.96041,Original,20.190179573168866,High Growth,
195,2003,Armenia,ARM,4.57522,Original,133.38077238944913,High Growth,52.091128143151046
196,2004,Armenia,ARM,4.89901,Original,7.077036732659847,Moderate Growth,44.28132886139444
197,2005,Armenia,ARM,5.25298,Original,7.225337364079687,Moderate Growth,38.8948935862921
198,2006,Armenia,ARM,5.63179,Original,7.211335280164777,Moderate Growth,7.171215601026937
199,2007,Armenia,ARM,6.02125,Original,6.915385694423981,Moderate Growth,7.117257366429763
200,2008,Armenia,ARM,6.21,Original,3.134731160473314,Stable,5.737397660348953
201,2009,Armenia,ARM,15.3,Original,146.37681159420293,High Growth,39.53451895787337
202,2010,Armenia,ARM,25.0,Original,63.39869281045751,High Growth,60.725375764074016
203,2011,Armenia,ARM,32.0,Original,28.000000000000004,High Growth,72.72404205219065
204,2012,Armenia,ARM,37.5,Original,17.1875,Moderate Growth,34.82795444685964
205,2013,Armenia,ARM,41.9,Original,11.733333333333329,Moderate Growth,18.784016109214896
206,2014,Armenia,ARM,54.6228,Original,30.364677804295948,High Growth,19.511031118138256
207,2015,Armenia,ARM,59.1008,Original,8.198041843332815,Moderate Growth,16.37348243705603
208,2016,Armenia,ARM,64.346,Original,8.875006768097894,Moderate Growth,15.372555022562251
209,2017,Armenia,ARM,64.7449,Original,0.6199297547633043,Stable,5.830423802057738
210,2018,Armenia,ARM,68.2451,Original,5.406140097521184,Moderate Growth,4.912210639619952
211,2019,Armenia,ARM,66.5439,Original,-2.4927797013998054,Stable,1.1258609149930265
212,2020,Armenia,ARM,76.5077,Original,14.973273282750199,Moderate Growth,5.722281642622762
213,2021,Armenia,ARM,78.6123,Original,2.750834229757282,Stable,4.826964366213415
214,2022,Armenia,ARM,77.0277,Original,-2.015715098019022,Stable,4.99764539019345
215,2023,Armenia,ARM,85.56653383399134,Imputed,11.085406722505464,Moderate Growth,3.8005364130249353
216,2000,Aruba,ABW,15.4428,Original,,,
217,2001,Aruba,ABW,17.1,Original,10.731214546584834,Moderate Growth,
218,2002,Aruba,ABW,18.8,Original,9.941520467836252,Moderate Growth,
219,2003,Aruba,ABW,20.8,Original,10.63829787234043,Moderate Growth,10.436447871599409
220,2004,Aruba,ABW,23.0,Original,10.576923076923084,Moderate Growth,10.385130447359249
221,2005,Aruba,ABW,25.4,Original,10.434782608695636,Moderate Growth,10.549968317940506
222,2006,Aruba,ABW,28.0,Original,10.236220472440948,Moderate Growth,10.415886963424924
223,2007,Aruba,ABW,30.9,Original,10.357142857142843,Moderate Growth,10.342685061160761
224,2008,Aruba,ABW,52.0,Original,68.28478964401295,High Growth,26.97645820871235
225,2009,Aruba,ABW,58.0,Original,11.538461538461542,Moderate Growth,27.4745010430834
226,2010,Aruba,ABW,62.0,Original,6.896551724137923,Moderate Growth,26.12787244904673
227,2011,Aruba,ABW,69.0,Original,11.290322580645151,Moderate Growth,9.88757320151712
228,2012,Aruba,ABW,74.0,Original,7.246376811594213,Moderate Growth,8.45957759913274
229,2013,Aruba,ABW,78.9,Original,6.621621621621632,Moderate Growth,8.366514406035531
230,2014,Aruba,ABW,83.78,Original,6.185044359949288,Moderate Growth,6.68345901086167
231,2015,Aruba,ABW,88.6612,Original,5.826211506326073,Moderate Growth,6.210461300675574
232,2016,Aruba,ABW,93.5425,Original,5.505565004759694,Moderate Growth,5.838576432186904
233,2017,Aruba,ABW,97.17,Original,3.8779164550872602,Stable,5.066423484890903
234,2018,Aruba,ABW,100.0,Imputed,2.912421529278575,Stable,4.093145345206306
235,2019,Aruba,ABW,100.0,Imputed,0.0,Stable,2.2500845508645284
236,2020,Aruba,ABW,100.0,Imputed,0.0,Stable,0.9615321039330826
237,2021,Aruba,ABW,100.0,Imputed,0.0,Stable,0.0
238,2022,Aruba,ABW,100.0,Imputed,0.0,Stable,0.0
239,2023,Aruba,ABW,100.0,Imputed,0.0,Stable,0.0
240,2000,Australia,AUS,46.7561,Original,,,
241,2001,Australia,AUS,52.6893,Original,12.689681132515318,Moderate Growth,
242,2002,Australia,AUS,57.119231817029686,Imputed,8.407649782839567,Moderate Growth,
243,2003,Australia,AUS,59.22308310947756,Imputed,3.6832625816592746,Stable,8.19758765388996
244,2004,Australia,AUS,61.32693440192543,Imputed,3.5524177094238274,Stable,5.190440954803965
245,2005,Australia,AUS,63.0,Original,2.7281089693960814,Stable,3.320396415954141
246,2006,Australia,AUS,66.0,Original,4.761904761904767,Stable,3.677450156437323
247,2007,Australia,AUS,69.45,Original,5.227272727272725,Moderate Growth,4.233422511342155
248,2008,Australia,AUS,71.67,Original,3.19654427645788,Stable,4.391615458813214
249,2009,Australia,AUS,74.25,Original,3.5998325659271746,Stable,4.0041911525952045
250,2010,Australia,AUS,76.0,Original,2.3569023569023573,Stable,3.0497907070656805
251,2011,Australia,AUS,79.4877,Original,4.589078947368419,Stable,3.511239418243295
252,2012,Australia,AUS,79.0,Original,-0.6135540467267275,Stable,2.0885129408609426
253,2013,Australia,AUS,83.4535,Original,5.637341772151916,Moderate Growth,3.167677629946297
254,2014,Australia,AUS,84.0,Original,0.6548556980833675,Stable,1.8575248228710928
255,2015,Australia,AUS,84.5605,Original,0.6672619047619177,Stable,2.29321231773445
256,2016,Australia,AUS,86.54,Original,2.3409275016112785,Stable,1.2179285502752046
257,2017,Australia,AUS,86.545,Original,0.005777675063556309,Stable,0.9998895220704185
258,2018,Australia,AUS,90.0,Original,3.9921428158761207,Stable,2.09982296817961
259,2019,Australia,AUS,93.6099,Original,4.010999999999987,Stable,2.652208363789166
260,2020,Australia,AUS,94.6935,Original,1.1575698724173522,Stable,3.0447956292768863
261,2021,Australia,AUS,94.9886,Original,0.31163701838035074,Stable,1.8145061654099903
262,2022,Australia,AUS,94.8762,Original,-0.11832998907238546,Stable,0.44889575645541413
263,2023,Australia,AUS,100.0,Imputed,5.400511403281327,Moderate Growth,1.8341111423243017
264,2000,Austria,AUT,33.7301,Original,,,
265,2001,Austria,AUT,39.1855,Original,16.173684631827356,Moderate Growth,
266,2002,Austria,AUT,36.56,Original,-6.700182465452775,Moderate Decline,
267,2003,Austria,AUT,42.7,Original,16.794310722100647,Moderate Growth,8.177452213587632
268,2004,Austria,AUT,54.28,Original,27.11943793911007,High Growth,11.473460205798713
269,2005,Austria,AUT,58.0,Original,6.853352984524674,Moderate Growth,16.629192527270153
270,2006,Austria,AUT,63.6,Original,9.6551724137931,Moderate Growth,14.202711003520129
271,2007,Austria,AUT,69.37,Original,9.072327044025164,Moderate Growth,8.520208250898165
272,2008,Austria,AUT,72.87,Original,5.045408678102925,Moderate Growth,7.904674412251955
273,2009,Austria,AUT,73.45,Original,0.795937971730476,Stable,4.916765899311537
274,2010,Austria,AUT,75.17,Original,2.3417290673927837,Stable,2.712733020159419
275,2011,Austria,AUT,78.74,Original,4.749235067181057,Stable,2.6161099293310563
276,2012,Austria,AUT,80.03,Original,1.6383032766065675,Stable,2.901176194996413
277,2013,Austria,AUT,80.6188,Original,0.7357241034611883,Stable,2.3600744442156207
278,2014,Austria,AUT,80.9958,Original,0.46763285982922564,Stable,0.9459802392020711
279,2015,Austria,AUT,83.9401,Original,3.6351267596591352,Stable,1.6027715972096512
280,2016,Austria,AUT,84.3237,Original,0.45699254587496796,Stable,1.5089748193720665
281,2017,Austria,AUT,87.9356,Original,4.2833746621649516,Stable,2.778137649526613
282,2018,Austria,AUT,87.4791,Original,-0.5191299087059065,Stable,1.386066669116448
283,2019,Austria,AUT,87.7522,Original,0.3121888542520379,Stable,1.3373289422357937
284,2020,Austria,AUT,87.5294,Original,-0.2538967684001192,Stable,-0.15421401641164678
285,2021,Austria,AUT,92.5292,Original,5.712137864534661,Moderate Growth,1.8884214200951321
286,2022,Austria,AUT,93.6141,Original,1.172494736796592,Stable,2.1788673806067305
287,2023,Austria,AUT,95.3347,Original,1.8379709894129181,Stable,2.8882272063819103
288,2000,Azerbaijan,AZE,0.147758,Original,,,
289,2001,Azerbaijan,AZE,0.305565,Original,106.8009853950378,High Growth,
290,2002,Azerbaijan,AZE,4.99971,Original,200.0,High Growth,
291,2003,Azerbaijan,AZE,7.298707679907238,Imputed,45.98262059013898,High Growth,100.0
292,2004,Azerbaijan,AZE,12.124515066365348,Imputed,66.11865549490594,High Growth,100.0
293,2005,Azerbaijan,AZE,8.03038,Original,-33.76741291470617,Significant Decline,17.110839464257623
294,2006,Azerbaijan,AZE,11.9922,Original,49.3353988229698,High Growth,18.000622281749457
295,2007,Azerbaijan,AZE,14.54,Original,21.24547622621369,High Growth,6.242922751760216
296,2008,Azerbaijan,AZE,17.08,Original,17.46905089408528,Moderate Growth,28.602849016011223
297,2009,Azerbaijan,AZE,27.4,Original,60.421545667447305,High Growth,31.709540108074762
298,2010,Azerbaijan,AZE,46.0,Original,67.88321167883214,High Growth,46.801719224344104
299,2011,Azerbaijan,AZE,50.0,Original,8.695652173913038,Moderate Growth,43.05203688169055
300,2012,Azerbaijan,AZE,54.2,Original,8.400000000000007,Moderate Growth,25.530591311524642
301,2013,Azerbaijan,AZE,73.0,Original,34.68634686346863,High Growth,16.642013917503462
302,2014,Azerbaijan,AZE,75.0,Original,2.7397260273972712,Stable,14.471424255333186
303,2015,Azerbaijan,AZE,77.0,Original,2.6666666666666616,Stable,12.416608663919382
304,2016,Azerbaijan,AZE,78.2,Original,1.558441558441559,Stable,2.3201805115816043
305,2017,Azerbaijan,AZE,79.0,Original,1.0230179028132946,Stable,1.7470772368319842
306,2018,Azerbaijan,AZE,79.8,Original,1.0126582278481067,Stable,1.197718640592571
307,2019,Azerbaijan,AZE,81.1,Original,1.6290726817042467,Stable,1.2211732875178072
308,2020,Azerbaijan,AZE,84.6,Original,4.315659679408146,Stable,2.309137613440493
309,2021,Azerbaijan,AZE,86.0,Original,1.654846335697413,Stable,2.5254899314980372
310,2022,Azerbaijan,AZE,88.0,Original,2.3255813953488413,Stable,2.7591743128811297
311,2023,Azerbaijan,AZE,100.0,Imputed,13.636363636363647,Moderate Growth,5.732835473683839
312,2000,"Bahamas, The",BHS,8.0,Original,,,
313,2001,"Bahamas, The",BHS,11.8,Original,47.50000000000001,High Growth,
314,2002,"Bahamas, The",BHS,18.0,Original,52.542372881355924,High Growth,
315,2003,"Bahamas, The",BHS,20.0,Original,11.111111111111116,Moderate Growth,35.72088082974532
316,2004,"Bahamas, The",BHS,22.0,Original,10.000000000000009,Moderate Growth,23.077941647372224
317,2005,"Bahamas, The",BHS,25.0,Original,13.636363636363647,Moderate Growth,11.57215834702825
318,2006,"Bahamas, The",BHS,26.0,Original,4.0000000000000036,Stable,9.139288306110593
319,2007,"Bahamas, The",BHS,27.0,Original,3.8461538461538547,Stable,7.064878325541235
320,2008,"Bahamas, The",BHS,31.54,Original,16.814814814814817,Moderate Growth,8.053928256970933
321,2009,"Bahamas, The",BHS,33.88,Original,7.419150285351939,Moderate Growth,9.225326408992785
322,2010,"Bahamas, The",BHS,43.0,Original,26.91853600944509,High Growth,16.77993534622413
323,2011,"Bahamas, The",BHS,65.0,Original,51.162790697674424,High Growth,27.257647107839468
324,2012,"Bahamas, The",BHS,71.7482,Original,10.38184615384614,Moderate Growth,28.417004779681253
325,2013,"Bahamas, The",BHS,72.0,Original,0.3509495708603261,Stable,18.74664466887861
