,year,country_name,country_code,internet_usage,data_source_x,yoy_growth,growth_category,cagr_3yr,gdp_per_capita,data_source_y,region,incomegroup,specialnotes,tablename
10,2010,Afghanistan,AFG,4.0,Original,12.676056338028175,Moderate Growth,28.16480963393988,560.6215055,Original,South Asia,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Afghanistan
11,2011,Afghanistan,AFG,5.0,Original,25.0,High Growth,39.54600049991204,606.6946763,Original,South Asia,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Afghanistan
12,2012,Afghanistan,AFG,5.45455,Original,9.091000000000005,Moderate Growth,15.392307500515766,651.4171345,Original,South Asia,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Afghanistan
13,2013,Afghanistan,AFG,5.9,Original,8.166576527852886,Moderate Growth,13.831905748125251,637.0870991,Original,South Asia,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Afghanistan
14,2014,Afghanistan,AFG,7.0,Original,18.64406779661017,Moderate Growth,11.86889420813968,625.0549418,Original,South Asia,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Afghanistan
15,2015,Afghanistan,AFG,8.26,Original,17.999999999999993,Moderate Growth,14.834849808753315,565.5697304,Original,South Asia,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Afghanistan
16,2016,Afghanistan,AFG,11.0,Original,33.17191283292979,High Growth,23.077941647372224,522.0822156,Original,South Asia,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Afghanistan
17,2017,Afghanistan,AFG,13.5,Original,22.72727272727273,High Growth,24.473980004936525,525.4697709,Original,South Asia,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Afghanistan
18,2018,Afghanistan,AFG,16.8,Original,24.444444444444446,High Growth,26.699940656239217,491.3372214,Original,South Asia,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Afghanistan
19,2019,Afghanistan,AFG,17.6,Original,4.761904761904767,Stable,16.96070952851465,496.6025043,Original,South Asia,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Afghanistan
20,2020,Afghanistan,AFG,18.4,Original,4.545454545454519,Stable,10.873566589384389,510.7870634,Original,South Asia,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Afghanistan
21,2021,Afghanistan,AFG,16.442698851947398,Imputed,-10.637506239416306,Moderate Decline,-0.7140169168793786,356.4962141,Original,South Asia,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Afghanistan
22,2022,Afghanistan,AFG,17.419437769894785,Imputed,5.940259118908009,Moderate Growth,-0.3431500936345921,357.2611528,Original,South Asia,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Afghanistan
23,2023,Afghanistan,AFG,18.39617668784217,Imputed,5.60717820431289,Moderate Growth,-0.0069267699313257,415.7074171,Original,South Asia,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Afghanistan
24,2000,Albania,ALB,0.114097,Original,,,,1126.68334,Original,Europe & Central Asia,Upper middle income,,Albania
25,2001,Albania,ALB,0.325798,Original,185.5447557779784,High Growth,,1281.659826,Original,Europe & Central Asia,Upper middle income,,Albania
26,2002,Albania,ALB,0.390081,Original,19.7309375748163,Moderate Growth,,1425.124219,Original,Europe & Central Asia,Upper middle income,,Albania
27,2003,Albania,ALB,0.9719,Original,149.15338096446632,High Growth,100.0,1846.120121,Original,Europe & Central Asia,Upper middle income,,Albania
28,2004,Albania,ALB,2.42039,Original,149.03693795657986,High Growth,95.12472859659404,2373.581292,Original,Europe & Central Asia,Upper middle income,,Albania
29,2005,Albania,ALB,6.04389,Original,149.70727857907198,High Growth,100.0,2673.787816,Original,Europe & Central Asia,Upper middle income,,Albania
30,2006,Albania,ALB,9.60999,Original,59.00339020068199,High Growth,100.0,2972.743621,Original,Europe & Central Asia,Upper middle income,,Albania
31,2007,Albania,ALB,15.0361,Original,56.46322212614165,High Growth,83.83009789904389,3595.038295,Original,Europe & Central Asia,Upper middle income,,Albania
32,2008,Albania,ALB,23.86,Original,58.68476533143567,High Growth,58.04640778938246,4370.539716,Original,Europe & Central Asia,Upper middle income,,Albania
33,2009,Albania,ALB,41.2,Original,72.6739312657167,High Growth,62.45188689887129,4114.134033,Original,Europe & Central Asia,Upper middle income,,Albania
34,2010,Albania,ALB,45.0,Original,9.223300970873783,Moderate Growth,44.10944185339516,4094.349686,Original,Europe & Central Asia,Upper middle income,,Albania
35,2011,Albania,ALB,47.0,Original,4.444444444444451,Stable,25.35523427367279,4437.141161,Original,Europe & Central Asia,Upper middle income,,Albania
36,2012,Albania,ALB,49.4,Original,5.106382978723412,Moderate Growth,6.237190648481139,4247.631343,Original,Europe & Central Asia,Upper middle income,,Albania
37,2013,Albania,ALB,51.8,Original,4.858299595141702,Stable,4.802686470595496,4413.063383,Original,Europe & Central Asia,Upper middle income,,Albania
38,2014,Albania,ALB,54.3,Original,4.826254826254828,Stable,4.930237830572848,4578.633208,Original,Europe & Central Asia,Upper middle income,,Albania
39,2015,Albania,ALB,56.9,Original,4.788213627992644,Stable,4.824252101877447,3952.803574,Original,Europe & Central Asia,Upper middle income,,Albania
40,2016,Albania,ALB,59.6,Original,4.7451669595782064,Stable,4.78653990214033,4124.05539,Original,Europe & Central Asia,Upper middle income,,Albania
41,2017,Albania,ALB,62.4,Original,4.697986577181212,Stable,4.743782573447808,4531.032207,Original,Europe & Central Asia,Upper middle income,,Albania
42,2018,Albania,ALB,65.4,Original,4.807692307692313,Stable,4.750272311540615,5365.489347,Original,Europe & Central Asia,Upper middle income,,Albania
43,2019,Albania,ALB,68.5504,Original,4.817125382262977,Stable,4.774254130653177,5460.428237,Original,Europe & Central Asia,Upper middle income,,Albania
44,2020,Albania,ALB,72.2377,Original,5.378962048361502,Moderate Growth,5.00092058808741,5370.778623,Original,Europe & Central Asia,Upper middle income,,Albania
45,2021,Albania,ALB,79.3237,Original,9.809282410707976,Moderate Growth,6.645304439242561,6413.283286,Original,Europe & Central Asia,Upper middle income,,Albania
46,2022,Albania,ALB,82.6137,Original,4.147562456113363,Stable,6.4177387994264645,6846.426143,Original,Europe & Central Asia,Upper middle income,,Albania
47,2023,Albania,ALB,83.1356,Original,0.6317354143441145,Stable,4.795115793191873,8575.171134,Original,Europe & Central Asia,Upper middle income,,Albania
48,2000,Algeria,DZA,0.491706,Original,,,,1772.928691,Original,Middle East & North Africa,Upper middle income,,Algeria
49,2001,Algeria,DZA,0.646114,Original,31.402504748772643,High Growth,,1896.300209,Original,Middle East & North Africa,Upper middle income,,Algeria
50,2002,Algeria,DZA,1.59164,Original,146.3404290883652,High Growth,,1937.464114,Original,Middle East & North Africa,Upper middle income,,Algeria
51,2003,Algeria,DZA,2.19536,Original,37.93068784398484,High Growth,64.66453790663003,2283.772993,Original,Middle East & North Africa,Upper middle income,,Algeria
52,2004,Algeria,DZA,4.63448,Original,111.10341811821294,High Growth,92.8548744768936,2816.99385,Original,Middle East & North Africa,Upper middle income,,Algeria
53,2005,Algeria,DZA,5.84394,Original,26.09699470059208,High Growth,54.27194955267347,3233.133396,Original,Middle East & North Africa,Upper middle income,,Algeria
54,2006,Algeria,DZA,7.37598,Original,26.215874906313207,High Growth,49.77454002258255,3660.661047,Original,Middle East & North Africa,Upper middle income,,Algeria
55,2007,Algeria,DZA,9.45119,Original,28.134702100602222,High Growth,26.812430753860703,4167.451699,Original,Middle East & North Africa,Upper middle income,,Algeria
56,2008,Algeria,DZA,10.18,Original,7.711304079168868,Moderate Growth,20.32263750694756,5180.918815,Original,Middle East & North Africa,Upper middle income,,Algeria
57,2009,Algeria,DZA,11.23,Original,10.314341846758367,Moderate Growth,15.041183769321975,4235.429905,Original,Middle East & North Africa,Upper middle income,,Algeria
58,2010,Algeria,DZA,12.5,Original,11.30899376669634,Moderate Growth,9.767685328976716,4912.785855,Original,Middle East & North Africa,Upper middle income,,Algeria
59,2011,Algeria,DZA,14.9,Original,19.2,Moderate Growth,13.539287219522311,5916.313644,Original,Middle East & North Africa,Upper middle income,,Algeria
60,2012,Algeria,DZA,18.2,Original,22.14765100671141,High Growth,17.461951144795783,6033.648847,Original,Middle East & North Africa,Upper middle income,,Algeria
61,2013,Algeria,DZA,22.5,Original,23.62637362637363,High Growth,21.644039911467992,5979.60139,Original,Middle East & North Africa,Upper middle income,,Algeria
62,2014,Algeria,DZA,29.5,Original,31.11111111111111,High Growth,25.5678859361778,6094.693923,Original,Middle East & North Africa,Upper middle income,,Algeria
63,2015,Algeria,DZA,38.2,Original,29.491525423728817,High Growth,28.03557561963266,4685.059027,Original,Middle East & North Africa,Upper middle income,,Algeria
64,2016,Algeria,DZA,42.9455,Original,12.422774869109944,Moderate Growth,24.04474817695825,4424.98529,Original,Middle East & North Africa,Upper middle income,,Algeria
65,2017,Algeria,DZA,47.6911,Original,11.050284663119523,Moderate Growth,17.364956248381503,4554.66754,Original,Middle East & North Africa,Upper middle income,,Algeria
66,2018,Algeria,DZA,49.0385,Original,2.825265091390228,Stable,8.682079161092249,4577.210292,Original,Middle East & North Africa,Upper middle income,,Algeria
67,2019,Algeria,DZA,58.9776,Original,20.26795273101747,High Growth,11.15350044959098,4468.453419,Original,Middle East & North Africa,Upper middle income,,Algeria
68,2020,Algeria,DZA,60.6534,Original,2.841417758606646,Stable,8.34426733570044,3743.541952,Original,Middle East & North Africa,Upper middle income,,Algeria
69,2021,Algeria,DZA,66.2356,Original,9.20344119208487,Moderate Growth,10.539653553976525,4160.559267,Original,Middle East & North Africa,Upper middle income,,Algeria
70,2022,Algeria,DZA,71.2432,Original,7.560284801526662,Moderate Growth,6.500613005620837,4961.552577,Original,Middle East & North Africa,Upper middle income,,Algeria
71,2023,Algeria,DZA,65.34096992885407,Imputed,-8.284622351531002,Moderate Decline,2.5124961762412523,5364.02795,Original,Middle East & North Africa,Upper middle income,,Algeria
72,2000,American Samoa,ASM,38.22598811736259,Imputed,,,,100.0,Imputed,East Asia & Pacific,High income,,American Samoa
73,2001,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,,100.0,Imputed,East Asia & Pacific,High income,,American Samoa
74,2002,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,,8972.696365,Original,East Asia & Pacific,High income,,American Samoa
75,2003,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0,9197.661968,Original,East Asia & Pacific,High income,,American Samoa
76,2004,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0,8958.428667,Original,East Asia & Pacific,High income,,American Samoa
77,2005,American Samoa,ASM,38.22598811736259,Imputed,0.0,Stable,0.0,8831.26976,Original,East Asia & Pacific,High income,,American Samoa
